gamePk,date,team,player_id,full_name,position,shots,goals,saves
2025020793,2026-01-21,Seattle Kraken,8479985,Cale Fleury,D,2,0,0
2025020793,2026-01-21,Seattle Kraken,8476457,Adam Larsson,D,3,1,0
2025020793,2026-01-21,Seattle Kraken,8479324,Ryan Lindgren,D,0,1,0
2025020793,2026-01-21,Seattle Kraken,8479372,Joshua Mahura,D,1,0,0
2025020793,2026-01-21,Seattle Kraken,8477986,Brandon Montour,D,2,0,0
2025020793,2026-01-21,Seattle Kraken,8476467,Jamie Oleksiak,D,0,0,0
2025020793,2026-01-21,Seattle Kraken,8478916,Joey Daccord,G,0,0,0
2025020793,2026-01-21,Seattle Kraken,8475831,Philipp Grubauer,G,0,0,29
2025020793,2026-01-21,Seattle Kraken,8476899,Matt Murray,G,0,0,0
2025020793,2026-01-21,New York Islanders,8478445,Mathew Barzal,F,2,0,0
2025020793,2026-01-21,New York Islanders,8475231,Casey Cizikas,F,1,0,0
2025020793,2026-01-21,New York Islanders,8477494,Jonathan Drouin,F,0,0,0
2025020793,2026-01-21,New York Islanders,8477407,Anthony Duclair,F,3,0,0
2025020793,2026-01-21,New York Islanders,8483553,Marc Gatcomb,F,1,0,0
2025020793,2026-01-21,New York Islanders,8482476,Emil Heineman,F,0,0,0
2025020793,2026-01-21,New York Islanders,8481601,Simon Holmstrom,F,0,0,0
2025020793,2026-01-21,New York Islanders,8477500,Bo Horvat,F,0,0,0
2025020793,2026-01-21,New York Islanders,8475314,Anders Lee,F,3,0,0
2025020793,2026-01-21,New York Islanders,8481237,Kyle MacLean,F,1,0,0
2025020793,2026-01-21,New York Islanders,8476419,Jean-Gabriel Pageau,F,3,0,0
2025020793,2026-01-21,New York Islanders,8475151,Kyle Palmieri,F,0,1,0
2025020793,2026-01-21,New York Islanders,8484221,Calum Ritchie,F,4,0,0
2025020793,2026-01-21,New York Islanders,8485702,Max Shabanov,F,0,0,0
2025020793,2026-01-21,New York Islanders,8484958,Maxim Tsyplakov,F,0,0,0
2025020793,2026-01-21,New York Islanders,8480871,Adam Boqvist,D,0,0,0
2025020793,2026-01-21,New York Islanders,8477950,Tony DeAngelo,D,2,0,0
2025020793,2026-01-21,New York Islanders,8483448,Isaiah George,D,0,0,0
2025020793,2026-01-21,New York Islanders,8476429,Scott Mayfield,D,2,0,0
2025020793,2026-01-21,New York Islanders,8476917,Adam Pelech,D,4,0,0
2025020793,2026-01-21,New York Islanders,8477506,Ryan Pulock,D,3,0,0
2025020793,2026-01-21,New York Islanders,8481014,Alexander Romanov,D,1,0,0
2025020793,2026-01-21,New York Islanders,8485366,Matthew Schaefer,D,0,0,0
2025020793,2026-01-21,New York Islanders,8479496,David Rittich,G,0,0,0
2025020793,2026-01-21,New York Islanders,8478009,Ilya Sorokin,G,0,0,22
2025020793,2026-01-21,New York Islanders,8473575,Semyon Varlamov,G,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8482496,Nils Aman,F,3,0,0
2025020792,2026-01-21,Vancouver Canucks,8476927,Teddy Blueger,F,2,1,0
2025020792,2026-01-21,Vancouver Canucks,8478444,Brock Boeser,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8480078,Filip Chytil,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8478498,Jake DeBrusk,F,2,0,0
2025020792,2026-01-21,Vancouver Canucks,8478856,Conor Garland,F,0,1,0
2025020792,2026-01-21,Vancouver Canucks,8481535,Nils Hoglander,F,1,0,0
2025020792,2026-01-21,Vancouver Canucks,8480144,David Kampf,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8475169,Evander Kane,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8481024,Linus Karlsson,F,2,0,0
2025020792,2026-01-21,Vancouver Canucks,8482055,Drew O'Connor,F,1,0,0
2025020792,2026-01-21,Vancouver Canucks,8483499,Liam Ohgren,F,1,0,0
2025020792,2026-01-21,Vancouver Canucks,8480012,Elias Pettersson,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8482691,Aatu Raty,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8482079,Marco Rossi,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8484136,Max Sasson,F,0,0,0
2025020792,2026-01-21,Vancouver Canucks,8484798,Zeev Buium,D,4,0,0
2025020792,2026-01-21,Vancouver Canucks,8475762,Derek Forbort,D,2,0,0
