date,player,team,opp,market,line,proj,p_over,p_under,p_push,over_price,under_price,book,side,price,ev,prob,chosen_prob,edge_score,edge_reasons,edge_drivers,proj_lambda
2026-03-17,Corey Perry,TBL,SEA,SOG,1.5,2.047,0.6066,0.39336329093134503,0.0,119,-158,pinnacle,Over,119,0.32853439286035435,0.606636709068655,0.606636709068655,0.42187299334890566,MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,2.047
2026-03-17,Matt Savoie,EDM,SJS,POINTS,0.5,0.879,0.5846,0.4154017709737198,0.0,115,-155,betmgm,Over,115,0.25688619240650246,0.5845982290262802,0.5845982290262802,0.41868630844011584,MODEL OVR · CONF55+ · CONS3+ · B2B · MATCHUP+,MODEL OVR · CONF55+ · CONS3+ · B2B · MATCHUP+,0.879
2026-03-17,Victor Hedman,TBL,SEA,SOG,1.5,2.03,0.6021,0.39794078875637573,0.0,-125,-105,draftkings,Over,-125,0.08370658023852373,0.6020592112436243,0.6020592112436243,0.4182109950888811,MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,2.03
2026-03-17,Nikolaj Ehlers,CAR,CBJ,POINTS,0.5,1.114,0.6719,0.32812236467364997,0.0,-125,-105,betmgm,Over,-125,0.20937974358743006,0.67187763532635,0.67187763532635,0.4173693526789544,MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,1.114
2026-03-17,Macklin Celebrini,SJS,EDM,SOG,3.5,4.531,0.6629,0.33705523255686387,0.0,-110,-118,fanduel,Over,-110,0.2656218287550781,0.6629447674431361,0.6629447674431361,0.41627841876764593,MODEL OVR · CONF60+ · CONS4+,MODEL OVR · CONF60+ · CONS4+,4.531
2026-03-17,Cole Perfetti,WPG,NSH,SOG,2.5,3.061,0.5904,0.4095662000771729,0.0,136,-178,fanduel,Over,136,0.39342376781787214,0.5904337999228271,0.5904337999228271,0.413096557049397,JUICE · MODEL OVR · CONF55+ · CONS4+ · MATCHUP+,JUICE · MODEL OVR · CONF55+ · CONS4+ · MATCHUP+,3.061
2026-03-17,Pavel Zacha,BOS,MTL,POINTS,0.5,0.927,0.6043,0.39568365582633824,0.0,-103,-128,pinnacle,Over,-103,0.191031241429644,0.6043163441736618,0.6043163441736618,0.41222418285275353,MODEL OVR · CONF60+ · CONS2 · B2B · MATCHUP+,MODEL OVR · CONF60+ · CONS2 · B2B · MATCHUP+,0.927
2026-03-17,Ivan Barbashev,VGK,BUF,SOG,1.5,2.267,0.6614,0.3385663501409081,0.0,-105,-125,draftkings,Over,-105,0.2913704592487032,0.6614336498590919,0.6614336498590919,0.4118686753306682,MODEL OVR · CONF60+ · CONS2,MODEL OVR · CONF60+ · CONS2,2.267
2026-03-17,Rasmus Dahlin,BUF,VGK,ASSISTS,0.5,1.021,0.6397,0.36031465661963247,0.0,-115,-115,betmgm,Over,-115,0.19593346805894796,0.6396853433803675,0.6396853433803675,0.4099094614661729,MODEL OVR · CONF60+ · CONS2,MODEL OVR · CONF60+ · CONS2,1.021
2026-03-17,Morgan Rielly,TOR,NYI,SOG,1.5,2.114,0.624,0.3759790737851577,0.0,-105,-130,betmgm,Over,-105,0.21832657022897772,0.6240209262148423,0.6240209262148423,0.40799533856819875,MODEL OVR · CONF60+ · CONS3+,MODEL OVR · CONF60+ · CONS3+,2.114
2026-03-17,Jared McCann,SEA,TBL,POINTS,0.5,0.348,0.2936,0.7063636376673788,0.0,-115,-115,betmgm,Under,-115,0.3205928878129254,0.7063636376673788,0.7063636376673788,0.4070638130079569,MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,MODEL UND · CONF60+ · CONS3+ · B2B · MATCHUP-,0.348
2026-03-17,Jake Guentzel,TBL,SEA,SOG,2.5,3.051,0.5881,0.41194836347754116,0.0,127,-169,pinnacle,Over,127,0.33487721490598155,0.5880516365224588,0.5880516365224588,0.40700493531194876,MODEL OVR · CONF55+ · CONS4+ · MATCHUP+,MODEL OVR · CONF55+ · CONS4+ · MATCHUP+,3.051
