date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2026-02-01,Seth Jarvis,CAR,SOG,2.5,3.6,0.6573,-110,-120,draftkings,Over,0.2549266134422231,3.6,0.2549266134422231
2026-02-01,Seth Jarvis,CAR,SOG,2.5,3.6,0.6573,-110,-120,betmgm,Over,0.2549266134422231,3.6,0.2549266134422231
2026-02-01,Jackson Blake,CAR,POINTS,0.5,0.911,0.5455,130,-168,draftkings,Over,0.25466911173645346,0.911,0.25466911173645346
2026-02-01,Nikolaj Ehlers,CAR,SOG,2.5,3.089,0.5571,125,-165,betmgm,Over,0.2535394411964521,3.089,0.2535394411964521
2026-02-01,Corey Perry,LAK,POINTS,0.5,0.991,0.5695,120,-154,draftkings,Over,0.25291644248437783,0.991,0.25291644248437783
2026-02-01,Charlie McAvoy,BOS,SOG,1.5,2.091,0.618,102,-132,fanduel,Over,0.2484445624161179,2.091,0.2484445624161179
2026-02-01,Corey Perry,LAK,POINTS,0.5,0.991,0.5695,119,-158,pinnacle,Over,0.24722136774581238,0.991,0.24722136774581238
2026-02-01,Shayne Gostisbehere,CAR,SOG,1.5,3.112,0.817,-190,137,pinnacle,Over,0.2469421779976036,3.112,0.2469421779976036
2026-02-01,Drew Doughty,LAK,ASSISTS,0.5,0.0,0.0,275,-408,pinnacle,Under,0.24507143547759722,0.0,0.24507143547759722
2026-02-01,Seth Jarvis,CAR,SOG,2.5,3.6,0.6573,-112,-119,pinnacle,Over,0.2442554687700953,3.6,0.2442554687700953
2026-02-01,Brandt Clarke,LAK,ASSISTS,0.5,0.635,0.4441,180,-240,draftkings,Over,0.24360842899123747,0.635,0.24360842899123747
2026-02-01,Marat Khusnutdinov,BOS,ASSISTS,0.5,0.003,0.0073,280,-400,betmgm,Under,0.24091967388707425,0.003,0.24091967388707425
2026-02-01,Tomas Hertl,VGK,ASSISTS,0.5,0.67,0.459,170,-232,pinnacle,Over,0.23932488999105983,0.67,0.23932488999105983
2026-02-01,Seth Jarvis,CAR,SOG,2.5,3.6,0.6573,-113,-115,fanduel,Over,0.23906154879693586,3.6,0.23906154879693586
2026-02-01,Charlie McAvoy,BOS,SOG,1.5,2.091,0.618,100,-140,betmgm,Over,0.23608372516447318,2.091,0.23608372516447318
2026-02-01,Fraser Minten,BOS,ASSISTS,0.5,0.465,0.3632,240,-350,betmgm,Over,0.2347217013637345,0.465,0.2347217013637345
2026-02-01,Jordan Staal,CAR,POINTS,0.5,0.713,0.4794,157,-214,pinnacle,Over,0.23218400558244812,0.713,0.23218400558244812
2026-02-01,Mikael Granlund,ANA,SOG,1.5,2.545,0.7218,-142,110,draftkings,Over,0.23012560057794185,2.545,0.23012560057794185
