team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Boston Bruins,8479999,,BLOCKS,0.0,4455,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479999,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478042,,SOG,2.0,1617,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478042,,GOALS,0.0,4509,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478042,,ASSISTS,0.0,4898,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478042,,POINTS,0.0,3681,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478042,,BLOCKS,0.0,4408,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8478042,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482177,,SOG,1.0,1796,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482177,,GOALS,0.0,5477,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482177,,ASSISTS,0.0,4494,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482177,,POINTS,0.0,4104,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482177,,BLOCKS,0.0,2660,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482177,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480035,,SOG,2.0,1486,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480035,,GOALS,0.0,5583,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480035,,ASSISTS,0.0,4455,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480035,,POINTS,0.0,4161,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480035,,BLOCKS,1.0,2225,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8480035,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482511,,SOG,0.0,1106,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482511,,GOALS,0.0,5585,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482511,,ASSISTS,0.0,4485,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482511,,POINTS,0.0,4188,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8482511,,BLOCKS,0.0,1634,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
