date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-03-01,Brock Faber,MIN,STL,ASSISTS,0.5,0.3445,0.257312,130,-175,betmgm,Under,-175,0.16708114285714287,0.742688,0.4273311972865494,p 74%; opp allow 7.00; line 0.5,0.742688
2026-03-01,Ryan Hartman,MIN,STL,ASSISTS,0.5,0.3445,0.26425,195,-265,draftkings,Under,-265,0.018556603773584923,0.7395,0.4247807972865494,p 74%; opp allow 7.00; line 0.5,0.7395
2026-03-01,Joel Eriksson Ek,MIN,STL,ASSISTS,0.5,0.3536,0.264937,135,-175,betmgm,Under,-175,0.155099,0.735063,0.4212311972865494,p 74%; opp allow 7.00; line 0.5,0.735063
2026-03-01,Clayton Keller,UTA,CHI,ASSISTS,0.5,0.5119,0.34125,-125,-105,betmgm,Under,-105,0.2861309523809522,0.65875,0.41707349485226153,p 66%; opp allow 5.60; line 0.5,0.65875
2026-03-01,Nick Schmaltz,UTA,CHI,ASSISTS,0.5,0.5314,0.357,105,-135,draftkings,Under,-135,0.12125462962962968,0.6441250000000001,0.4053734948522616,p 64%; opp allow 5.60; line 0.5,0.6441250000000001
2026-03-01,Matthew Schaefer,NYI,FLA,POINTS,0.5,0.5258,0.356187,100,-130,betmgm,Under,-130,0.13905376923076912,0.643813,0.4007116158292722,p 64%; opp allow 9.00; line 0.5,0.643813
2026-03-01,Chris Kreider,ANA,CGY,POINTS,0.5,0.6066,0.390688,-118,-110,betmgm,Under,-110,0.16323200000000015,0.6093120000000001,0.39942377640270604,p 61%; opp allow 8.20; line 0.5,0.6093120000000001
2026-03-01,JJ Peterka,UTA,CHI,POINTS,0.5,0.5312,0.355375,-105,-130,betmgm,Under,-130,0.1404903846153846,0.644625,0.39494991783151795,p 64%; opp allow 9.20; line 0.5,0.644625
2026-03-01,Barrett Hayton,UTA,CHI,POINTS,0.5,0.5543,0.36275,-116,-114,pinnacle,Under,-114,0.19870410526315807,0.6385620000000001,0.39009951783151803,p 64%; opp allow 9.20; line 0.5,0.6385620000000001
2026-03-01,Kyle Connor,WPG,SJS,ASSISTS,0.5,0.5293,0.351562,-135,105,draftkings,Under,105,0.32558124999999993,0.646625,0.38800012470202216,p 65%; opp allow 6.00; line 0.5,0.646625
2026-03-01,Mikhail Sergachev,UTA,CHI,ASSISTS,0.5,0.6072,0.388062,-110,-120,betmgm,Under,-120,0.12188633333333343,0.611938,0.3796238948522615,p 61%; opp allow 5.60; line 0.5,0.611938
