date,team,opponent,is_home,goals_for,goals_against,rest_days,b2b,goals_for_roll10,goals_against_roll10
2022-12-20 03:00:00,Arizona Coyotes,Montréal Canadiens,1,2.0,3.0,2,0,3.0,4.2
2022-12-22 03:00:00,Arizona Coyotes,Vegas Golden Knights,0,2.0,5.0,2,0,2.9,4.1
2022-12-24 02:30:00,Arizona Coyotes,Los Angeles Kings,1,2.0,1.0,1,1,2.8,4.1
2022-12-28 02:00:00,Arizona Coyotes,Colorado Avalanche,1,6.0,3.0,3,0,2.8,3.9
2022-12-30 02:00:00,Arizona Coyotes,Toronto Maple Leafs,1,6.0,3.0,2,0,3.2,3.9
2022-12-31 22:00:00,Arizona Coyotes,Tampa Bay Lightning,0,3.0,5.0,1,1,3.6,3.4
2023-01-04 00:00:00,Arizona Coyotes,Florida Panthers,0,3.0,5.0,3,0,3.5,3.6
2023-01-06 00:00:00,Arizona Coyotes,Philadelphia Flyers,0,2.0,6.0,2,0,3.3,3.7
2023-01-07 01:30:00,Arizona Coyotes,Chicago Blackhawks,0,0.0,2.0,1,1,3.3,4.0
2023-01-09 00:00:00,Arizona Coyotes,Pittsburgh Penguins,1,1.0,4.0,1,1,2.8,3.8
2023-01-11 02:00:00,Arizona Coyotes,San Jose Sharks,1,2.0,4.0,2,0,2.7,3.7
2023-01-13 02:00:00,Arizona Coyotes,Ottawa Senators,1,3.0,5.0,2,0,2.7,3.8
2023-01-15 01:00:00,Arizona Coyotes,Minnesota Wild,0,1.0,2.0,1,1,2.8,3.8
2023-01-16 00:00:00,Arizona Coyotes,Winnipeg Jets,0,1.0,2.0,0,0,2.7,3.9
2023-01-18 02:00:00,Arizona Coyotes,Detroit Red Wings,1,4.0,3.0,2,0,2.2,3.8
2023-01-20 02:00:00,Arizona Coyotes,Washington Capitals,1,0.0,4.0,2,0,2.0,3.8
2023-01-22 01:00:00,Arizona Coyotes,Dallas Stars,0,0.0,4.0,1,1,1.7,3.7
2023-01-23 01:00:00,Arizona Coyotes,Vegas Golden Knights,1,4.0,1.0,1,1,1.4,3.6
2023-01-25 02:00:00,Arizona Coyotes,Anaheim Ducks,1,2.0,5.0,2,0,1.6,3.1
2023-01-27 02:00:00,Arizona Coyotes,St. Louis Blues,1,5.0,0.0,2,0,1.8,3.4
2023-01-29 03:30:00,Arizona Coyotes,Anaheim Ducks,0,1.0,2.0,2,0,2.2,3.0
2023-02-07 02:00:00,Arizona Coyotes,Minnesota Wild,1,3.0,2.0,8,0,2.1,2.8
2023-02-11 01:30:00,Arizona Coyotes,Chicago Blackhawks,0,3.0,4.0,3,0,2.1,2.5
2023-02-12 01:00:00,Arizona Coyotes,St. Louis Blues,0,5.0,6.0,0,0,2.3,2.7
2023-02-14 01:00:00,Arizona Coyotes,Nashville Predators,0,4.0,2.0,2,0,2.7,3.1
2023-02-16 02:00:00,Arizona Coyotes,Tampa Bay Lightning,1,1.0,0.0,2,0,2.7,3.0
2023-02-19 03:30:00,Arizona Coyotes,Los Angeles Kings,0,5.0,6.0,3,0,2.8,2.6
2023-02-20 01:30:00,Arizona Coyotes,Columbus Blue Jackets,1,3.0,2.0,0,0,3.3,2.8
2023-02-23 02:30:00,Arizona Coyotes,Calgary Flames,1,3.0,6.0,3,0,3.2,2.9
2023-02-27 00:00:00,Arizona Coyotes,Nashville Predators,1,2.0,6.0,3,0,3.3,3.0
2023-03-01 02:00:00,Arizona Coyotes,Chicago Blackhawks,1,4.0,1.0,2,0,3.0,3.6
2023-03-02 01:30:00,Arizona Coyotes,Dallas Stars,0,2.0,4.0,0,0,3.3,3.5
2023-03-04 02:30:00,Arizona Coyotes,Carolina Hurricanes,1,1.0,6.0,2,0,3.2,3.7
2023-03-06 00:00:00,Arizona Coyotes,New Jersey Devils,1,4.0,5.0,1,1,3.0,3.9
2023-03-08 02:00:00,Arizona Coyotes,St. Louis Blues,1,6.0,2.0,2,0,2.9,3.8
2023-03-10 02:00:00,Arizona Coyotes,Nashville Predators,1,4.0,1.0,2,0,3.1,3.8
